### magnitude offsets  bq -0.055  bB  0.155  ba -0.119  bA  0.007  bb  0.000  br -0.003 
HJD,UT Date,Camera,FWHM,Limit,mag,mag_err,flux(mJy),flux_err,Filter
2460097.877981,2023-6-2.377,bq,1.46,NA,9.267,0.037,NA,NA,g
2460098.856964,2023-6-3.356,bq,1.53,NA,9.247,0.037,NA,NA,g
2460100.849758,2023-6-5.349,bq,1.64,NA,9.064,0.037,NA,NA,g
2460103.869945,2023-6-8.369,bq,1.46,NA,9.270,0.037,NA,NA,g
2460106.852684,2023-6-11.352,bq,1.45,NA,9.177,0.037,NA,NA,g
2460111.799563,2023-6-16.299,bq,1.53,NA,9.282,0.037,NA,NA,g
2460235.680969,2023-10-18.18,bq,1.57,NA,9.188,0.037,NA,NA,g
2460250.699141,2023-11-2.199,bq,1.56,NA,9.149,0.037,NA,NA,g
2460274.600435,2023-11-26.1,bq,1.6,NA,9.101,0.037,NA,NA,g
2460278.619672,2023-11-30.119,bq,1.56,NA,9.166,0.037,NA,NA,g
2460279.590577,2023-12-1.09,bq,1.63,NA,9.172,0.037,NA,NA,g
2460280.586584,2023-12-2.086,bq,1.57,NA,9.157,0.037,NA,NA,g
2460287.572334,2023-12-9.072,bq,1.67,NA,9.115,0.037,NA,NA,g
2460295.565901,2023-12-17.065,bq,1.59,NA,9.128,0.037,NA,NA,g
2460296.567477,2023-12-18.067,bq,1.59,NA,9.122,0.037,NA,NA,g
2460301.559157,2023-12-23.059,bq,1.47,NA,9.126,0.037,NA,NA,g
2460303.553797,2023-12-25.053,bq,2.15,NA,9.109,0.037,NA,NA,g
2460304.552800,2023-12-26.052,bq,2.29,NA,9.232,0.037,NA,NA,g
2460362.006786,2024-2-21.506,bq,1.46,NA,9.176,0.037,NA,NA,g
2460363.003618,2024-2-22.503,bq,1.53,NA,9.212,0.037,NA,NA,g
2460391.971583,2024-3-22.471,bq,1.5,NA,9.133,0.037,NA,NA,g
2460395.958607,2024-3-26.458,bq,1.54,NA,9.168,0.037,NA,NA,g
2460414.931522,2024-4-14.431,bq,1.55,NA,9.230,0.037,NA,NA,g
2460416.917747,2024-4-16.417,bq,1.52,NA,9.163,0.037,NA,NA,g
2460430.824220,2024-4-30.324,bq,1.5,NA,9.219,0.037,NA,NA,g
2460461.871695,2024-5-31.371,bq,1.49,NA,9.187,0.037,NA,NA,g
2460462.802319,2024-6-1.302,bq,1.48,NA,9.214,0.037,NA,NA,g
2460486.707540,2024-6-25.207,bq,1.53,NA,9.177,0.037,NA,NA,g
2460488.689545,2024-6-27.189,bq,1.47,NA,9.244,0.037,NA,NA,g
2460491.678912,2024-6-30.178,bq,1.54,NA,9.223,0.037,NA,NA,g
2460492.652359,2024-7-1.152,bq,2.2,NA,9.013,0.037,NA,NA,g
2460492.891201,2024-7-1.391,bq,1.47,NA,9.146,0.037,NA,NA,g
2460494.659322,2024-7-3.159,bq,2.05,NA,9.030,0.037,NA,NA,g
2460495.707279,2024-7-4.207,bq,1.55,NA,9.138,0.037,NA,NA,g
2460499.734496,2024-7-8.234,bq,1.52,NA,9.218,0.037,NA,NA,g
2460501.658758,2024-7-10.158,bq,1.52,NA,9.186,0.037,NA,NA,g
2460501.960652,2024-7-10.46,bq,1.49,NA,9.124,0.037,NA,NA,g
2460504.646966,2024-7-13.146,bq,1.49,NA,9.140,0.037,NA,NA,g
2460505.716780,2024-7-14.216,bq,1.98,NA,9.059,0.037,NA,NA,g
2460508.713551,2024-7-17.213,bq,1.45,NA,9.243,0.037,NA,NA,g
2460511.805367,2024-7-20.305,bq,1.52,NA,9.197,0.037,NA,NA,g
2460516.638704,2024-7-25.138,bq,2,NA,9.134,0.037,NA,NA,g
2460517.709551,2024-7-26.209,bq,1.49,NA,9.123,0.037,NA,NA,g
2460517.863549,2024-7-26.363,bq,1.48,NA,9.161,0.037,NA,NA,g
2460518.705291,2024-7-27.205,bq,1.44,NA,9.275,0.037,NA,NA,g
2460522.691294,2024-7-31.191,bq,1.52,NA,9.235,0.037,NA,NA,g
2460529.828888,2024-8-7.328,bq,1.47,NA,9.312,0.037,NA,NA,g
2460530.827922,2024-8-8.327,bq,1.44,NA,9.291,0.037,NA,NA,g
2460531.827545,2024-8-9.327,bq,1.48,NA,9.229,0.037,NA,NA,g
2460532.823446,2024-8-10.323,bq,1.42,NA,9.147,0.037,NA,NA,g
2460533.818781,2024-8-11.318,bq,1.45,NA,9.187,0.037,NA,NA,g
2460539.873263,2024-8-17.373,bq,1.47,NA,9.108,0.037,NA,NA,g
2460540.857821,2024-8-18.357,bq,1.55,NA,9.151,0.037,NA,NA,g
2460547.647572,2024-8-25.147,bq,1.48,NA,9.183,0.037,NA,NA,g
2460548.661606,2024-8-26.161,bq,1.49,NA,9.155,0.037,NA,NA,g
2460548.824021,2024-8-26.324,bq,1.49,NA,9.182,0.037,NA,NA,g
2460549.776334,2024-8-27.276,bq,1.46,NA,9.183,0.037,NA,NA,g
2460550.645024,2024-8-28.145,bq,1.45,NA,9.235,0.037,NA,NA,g
2460566.623054,2024-9-13.123,bq,1.46,NA,9.169,0.037,NA,NA,g
2460587.734805,2024-10-4.234,bq,1.44,NA,9.183,0.037,NA,NA,g
2460620.664009,2024-11-6.164,bq,1.53,NA,9.179,0.037,NA,NA,g
2460621.670097,2024-11-7.17,bq,1.52,NA,9.157,0.037,NA,NA,g
2460624.666983,2024-11-10.166,bq,1.52,NA,9.125,0.037,NA,NA,g
2460628.615576,2024-11-14.115,bq,1.64,NA,9.230,0.037,NA,NA,g
2460629.615225,2024-11-15.115,bq,1.63,NA,9.204,0.037,NA,NA,g
2460633.645502,2024-11-19.145,bq,2.26,NA,9.009,0.037,NA,NA,g
2460653.568575,2024-12-9.068,bq,2.2,NA,9.213,0.037,NA,NA,g
2460659.577060,2024-12-15.077,bq,2.36,NA,8.779,0.037,NA,NA,g
2460719.029557,2025-2-12.529,bq,2.19,NA,9.079,0.037,NA,NA,g
2460722.024815,2025-2-15.524,bq,1.73,NA,9.195,0.037,NA,NA,g
2460724.017004,2025-2-17.517,bq,2.05,NA,9.199,0.037,NA,NA,g
2460726.019263,2025-2-19.519,bq,2.44,NA,9.189,0.037,NA,NA,g
2460730.997522,2025-2-24.497,bq,1.55,NA,9.165,0.037,NA,NA,g
2460753.946466,2025-3-19.446,bq,2.45,NA,9.033,0.037,NA,NA,g
2460755.944507,2025-3-21.444,bq,1.71,NA,9.234,0.037,NA,NA,g
2460758.980480,2025-3-24.48,bq,1.59,NA,9.127,0.037,NA,NA,g
2460762.970676,2025-3-28.47,bq,1.61,NA,9.150,0.037,NA,NA,g
2460763.976485,2025-3-29.476,bq,2.22,NA,9.028,0.037,NA,NA,g
2460764.986637,2025-3-30.486,bq,1.76,NA,9.103,0.037,NA,NA,g
2460766.932661,2025-4-1.432,bq,1.57,NA,9.276,0.037,NA,NA,g
2460767.914414,2025-4-2.414,bq,1.47,NA,9.196,0.037,NA,NA,g
2460778.944879,2025-4-13.444,bq,1.6,NA,9.214,0.037,NA,NA,g
2460789.946730,2025-4-24.446,bq,1.49,NA,9.226,0.037,NA,NA,g
2460790.856403,2025-4-25.356,bq,1.57,NA,9.267,0.037,NA,NA,g
2460796.905215,2025-5-1.405,bq,2.01,NA,9.253,0.037,NA,NA,g
2460801.883700,2025-5-6.383,bq,2.38,NA,9.214,0.037,NA,NA,g
2460806.804117,2025-5-11.304,bq,1.49,NA,9.203,0.037,NA,NA,g
2460818.757420,2025-5-23.257,bq,1.55,NA,9.169,0.037,NA,NA,g
2460819.768348,2025-5-24.268,bq,1.5,NA,9.260,0.037,NA,NA,g
2460821.907007,2025-5-26.407,bq,1.56,NA,9.195,0.037,NA,NA,g
2460822.760385,2025-5-27.26,bq,1.46,NA,9.222,0.037,NA,NA,g
2460829.879874,2025-6-3.379,bq,1.52,NA,9.229,0.037,NA,NA,g
2460830.924673,2025-6-4.424,bq,1.46,NA,9.233,0.037,NA,NA,g
2460831.874432,2025-6-5.374,bq,1.48,NA,9.226,0.037,NA,NA,g
2460834.788646,2025-6-8.288,bq,1.5,NA,9.229,0.037,NA,NA,g
2460837.735139,2025-6-11.235,bq,1.64,NA,9.187,0.037,NA,NA,g
2460837.913574,2025-6-11.413,bq,1.57,NA,9.266,0.037,NA,NA,g
2460838.827569,2025-6-12.327,bq,1.49,NA,9.220,0.037,NA,NA,g
2460843.696777,2025-6-17.196,bq,1.46,NA,9.207,0.037,NA,NA,g
2460845.950786,2025-6-19.45,bq,1.48,NA,9.148,0.037,NA,NA,g
2460865.943581,2025-7-9.443,bq,1.66,NA,9.214,0.037,NA,NA,g
2460870.909077,2025-7-14.409,bq,1.5,NA,9.213,0.037,NA,NA,g
2460872.655407,2025-7-16.155,bq,1.66,NA,9.154,0.037,NA,NA,g
2460882.774858,2025-7-26.274,bq,1.53,NA,9.237,0.037,NA,NA,g
2460883.777228,2025-7-27.277,bq,1.59,NA,9.176,0.037,NA,NA,g
2460886.899836,2025-7-30.399,bq,1.58,NA,9.207,0.037,NA,NA,g
2460890.641449,2025-8-3.141,bq,1.67,NA,9.227,0.037,NA,NA,g
2460892.786060,2025-8-5.286,bq,1.57,NA,9.215,0.037,NA,NA,g
2460895.835731,2025-8-8.335,bq,1.57,NA,9.219,0.037,NA,NA,g
2460907.895199,2025-8-20.395,bq,1.95,NA,9.096,0.037,NA,NA,g
2460908.783582,2025-8-21.283,bq,1.58,NA,9.182,0.037,NA,NA,g
2460916.787041,2025-8-29.287,bq,1.66,NA,9.550,0.037,NA,NA,g
2460921.736655,2025-9-3.236,bq,1.58,NA,9.684,0.037,NA,NA,g
2460929.700446,2025-9-11.2,bq,1.51,NA,9.708,0.037,NA,NA,g
2460949.720352,2025-10-1.22,bq,1.59,NA,9.708,0.037,NA,NA,g
2460950.755156,2025-10-2.255,bq,1.65,NA,9.651,0.037,NA,NA,g
2460951.708825,2025-10-3.208,bq,1.62,NA,9.664,0.037,NA,NA,g
2460954.699395,2025-10-6.199,bq,1.7,NA,9.679,0.037,NA,NA,g
2460966.648321,2025-10-18.148,bq,1.75,NA,9.547,0.037,NA,NA,g
2460969.665409,2025-10-21.165,bq,1.65,NA,9.588,0.037,NA,NA,g
2460970.629439,2025-10-22.129,bq,1.56,NA,9.691,0.037,NA,NA,g
2460971.645744,2025-10-23.145,bq,1.61,NA,9.642,0.037,NA,NA,g
2460974.670902,2025-10-26.17,bq,1.58,NA,9.698,0.037,NA,NA,g
2460982.589141,2025-11-3.089,bq,2.3,NA,9.381,0.037,NA,NA,g
2460984.584946,2025-11-5.084,bq,1.61,NA,9.698,0.037,NA,NA,g
2460985.683316,2025-11-6.183,bq,1.58,NA,9.651,0.037,NA,NA,g
2461008.609307,2025-11-29.109,bq,1.55,NA,9.639,0.037,NA,NA,g
2461009.590713,2025-11-30.09,bq,1.6,NA,9.670,0.037,NA,NA,g
2461011.616694,2025-12-2.116,bq,1.57,NA,9.669,0.037,NA,NA,g
2461012.563119,2025-12-3.063,bq,1.98,NA,9.614,0.037,NA,NA,g
2461017.597655,2025-12-8.097,bq,1.59,NA,9.641,0.037,NA,NA,g
2461027.573322,2025-12-18.073,bq,1.61,NA,9.648,0.037,NA,NA,g
2461029.547817,2025-12-20.047,bq,1.59,NA,9.653,0.037,NA,NA,g
2461031.562126,2025-12-22.062,bq,1.52,NA,9.705,0.037,NA,NA,g
2461033.555594,2025-12-24.055,bq,1.55,NA,9.612,0.037,NA,NA,g
2461091.013042,2026-2-19.513,bq,2.03,NA,9.526,0.037,NA,NA,g
2461092.013596,2026-2-20.513,bq,1.59,NA,9.635,0.037,NA,NA,g
2458226.942765,2018-4-18.442,br,1.6,NA,9.123,0.037,NA,NA,g
2458234.925808,2018-4-26.425,br,1.57,NA,9.141,0.037,NA,NA,g
2458236.919568,2018-4-28.419,br,1.47,NA,9.268,0.037,NA,NA,g
2458243.895769,2018-5-5.395,br,1.6,NA,9.138,0.037,NA,NA,g
2458244.897073,2018-5-6.397,br,1.65,NA,9.071,0.037,NA,NA,g
2458246.891043,2018-5-8.391,br,1.57,NA,9.192,0.037,NA,NA,g
2458247.909853,2018-5-9.409,br,1.5,NA,9.164,0.037,NA,NA,g
2458248.890421,2018-5-10.39,br,1.49,NA,9.119,0.037,NA,NA,g
2458251.878978,2018-5-13.378,br,1.57,NA,9.151,0.037,NA,NA,g
2458252.903951,2018-5-14.403,br,1.46,NA,9.185,0.037,NA,NA,g
2458253.875535,2018-5-15.375,br,1.45,NA,9.159,0.037,NA,NA,g
2458256.881747,2018-5-18.381,br,1.56,NA,9.182,0.037,NA,NA,g
2458261.854108,2018-5-23.354,br,1.46,NA,9.159,0.037,NA,NA,g
2458262.850862,2018-5-24.35,br,1.44,NA,9.191,0.037,NA,NA,g
2458267.828548,2018-5-29.328,br,1.41,NA,8.975,0.037,NA,NA,g
2458268.824738,2018-5-30.324,br,1.48,NA,9.106,0.037,NA,NA,g
2458270.821606,2018-6-1.321,br,1.51,NA,9.195,0.037,NA,NA,g
2458281.848965,2018-6-12.348,br,1.41,NA,9.146,0.037,NA,NA,g
2458289.938896,2018-6-20.438,br,1.44,NA,9.293,0.037,NA,NA,g
2458295.808770,2018-6-26.308,br,1.45,NA,9.179,0.037,NA,NA,g
2458304.923286,2018-7-5.423,br,1.46,NA,9.253,0.037,NA,NA,g
2458318.773705,2018-7-19.273,br,1.46,NA,9.221,0.037,NA,NA,g
2458323.813594,2018-7-24.313,br,1.44,NA,9.231,0.037,NA,NA,g
2458324.797346,2018-7-25.297,br,1.45,NA,9.142,0.037,NA,NA,g
2458329.861109,2018-7-30.361,br,1.44,NA,9.190,0.037,NA,NA,g
2458331.849273,2018-8-1.349,br,1.54,NA,9.169,0.037,NA,NA,g
2458335.699393,2018-8-5.199,br,1.43,NA,9.188,0.037,NA,NA,g
2458337.817122,2018-8-7.317,br,1.5,NA,9.206,0.037,NA,NA,g
2458338.623375,2018-8-8.123,br,1.64,NA,9.156,0.037,NA,NA,g
2458345.670181,2018-8-15.17,br,1.43,NA,9.258,0.037,NA,NA,g
2458354.909558,2018-8-24.409,br,1.46,NA,9.262,0.037,NA,NA,g
2458362.837705,2018-9-1.337,br,1.42,NA,9.216,0.037,NA,NA,g
2458385.772923,2018-9-24.272,br,1.45,NA,9.204,0.037,NA,NA,g
2458389.766106,2018-9-28.266,br,1.45,NA,9.163,0.037,NA,NA,g
2458390.642583,2018-9-29.142,br,1.65,NA,9.184,0.037,NA,NA,g
2458393.820680,2018-10-2.32,br,1.46,NA,9.225,0.037,NA,NA,g
2458416.726125,2018-10-25.226,br,1.49,NA,9.074,0.037,NA,NA,g
2458419.741906,2018-10-28.241,br,1.48,NA,9.101,0.037,NA,NA,g
2458420.709339,2018-10-29.209,br,1.41,NA,9.146,0.037,NA,NA,g
2458424.729047,2018-11-2.229,br,2.01,NA,9.083,0.037,NA,NA,g
2458429.708451,2018-11-7.208,br,1.44,NA,9.247,0.037,NA,NA,g
2458437.682339,2018-11-15.182,br,1.57,NA,9.117,0.037,NA,NA,g
2458440.677659,2018-11-18.177,br,1.43,NA,9.205,0.037,NA,NA,g
2458443.673854,2018-11-21.173,br,1.47,NA,9.118,0.037,NA,NA,g
2458450.650415,2018-11-28.15,br,1.53,NA,9.216,0.037,NA,NA,g
2458465.612067,2018-12-13.112,br,1.46,NA,9.290,0.037,NA,NA,g
2458475.575603,2018-12-23.075,br,1.67,NA,9.133,0.037,NA,NA,g
2458476.546300,2018-12-24.046,br,1.56,NA,9.131,0.037,NA,NA,g
2458480.562684,2018-12-28.062,br,1.61,NA,9.190,0.037,NA,NA,g
2458484.545763,2019-1-1.045,br,2.36,NA,9.293,0.037,NA,NA,g
2458566.000798,2019-3-23.5,br,1.49,NA,9.090,0.037,NA,NA,g
2458567.994474,2019-3-25.494,br,1.49,NA,9.126,0.037,NA,NA,g
2458582.949820,2019-4-9.449,br,1.56,NA,9.190,0.037,NA,NA,g
2458583.961929,2019-4-10.461,br,1.45,NA,9.186,0.037,NA,NA,g
2458598.918033,2019-4-25.418,br,1.5,NA,9.159,0.037,NA,NA,g
2458599.897022,2019-4-26.397,br,1.51,NA,9.171,0.037,NA,NA,g
2458600.894058,2019-4-27.394,br,1.43,NA,9.173,0.037,NA,NA,g
2458600.950587,2019-4-27.45,br,1.57,NA,9.178,0.037,NA,NA,g
2458601.898302,2019-4-28.398,br,1.43,NA,9.181,0.037,NA,NA,g
2458604.892746,2019-5-1.392,br,1.47,NA,9.180,0.037,NA,NA,g
2458605.885055,2019-5-2.385,br,1.48,NA,9.191,0.037,NA,NA,g
2458607.879225,2019-5-4.379,br,1.53,NA,9.120,0.037,NA,NA,g
2458608.907638,2019-5-5.407,br,1.49,NA,9.165,0.037,NA,NA,g
2458618.851613,2019-5-15.351,br,1.51,NA,9.109,0.037,NA,NA,g
2458622.830113,2019-5-19.33,br,1.5,NA,9.062,0.037,NA,NA,g
2458625.826727,2019-5-22.326,br,1.49,NA,9.204,0.037,NA,NA,g
2458629.837316,2019-5-26.337,br,1.45,NA,9.204,0.037,NA,NA,g
2458635.848155,2019-6-1.348,br,1.61,NA,9.131,0.037,NA,NA,g
2458651.762254,2019-6-17.262,br,1.47,NA,9.215,0.037,NA,NA,g
2458657.917077,2019-6-23.417,br,1.51,NA,9.172,0.037,NA,NA,g
2458659.771510,2019-6-25.271,br,1.43,NA,9.114,0.037,NA,NA,g
2458660.775598,2019-6-26.275,br,1.44,NA,9.156,0.037,NA,NA,g
2458670.862523,2019-7-6.362,br,1.49,NA,9.156,0.037,NA,NA,g
2458679.831078,2019-7-15.331,br,1.52,NA,9.251,0.037,NA,NA,g
2458680.891581,2019-7-16.391,br,1.44,NA,9.164,0.037,NA,NA,g
2458683.724443,2019-7-19.224,br,1.46,NA,9.168,0.037,NA,NA,g
2458684.713469,2019-7-20.213,br,1.41,NA,9.143,0.037,NA,NA,g
2458684.965860,2019-7-20.465,br,1.53,NA,9.065,0.037,NA,NA,g
2458688.794829,2019-7-24.294,br,1.46,NA,9.253,0.037,NA,NA,g
2458692.818657,2019-7-28.318,br,1.43,NA,9.198,0.037,NA,NA,g
2458694.701402,2019-7-30.201,br,1.53,NA,9.168,0.037,NA,NA,g
2458697.707070,2019-8-2.207,br,1.42,NA,9.209,0.037,NA,NA,g
2458700.725524,2019-8-5.225,br,1.46,NA,9.281,0.037,NA,NA,g
2458701.823627,2019-8-6.323,br,1.43,NA,9.208,0.037,NA,NA,g
2458705.752894,2019-8-10.252,br,1.45,NA,9.173,0.037,NA,NA,g
2458707.757367,2019-8-12.257,br,1.43,NA,9.185,0.037,NA,NA,g
2458707.938414,2019-8-12.438,br,1.43,NA,9.228,0.037,NA,NA,g
2458708.903331,2019-8-13.403,br,1.39,NA,9.142,0.037,NA,NA,g
2458726.676533,2019-8-31.176,br,1.43,NA,9.254,0.037,NA,NA,g
2458729.870906,2019-9-3.37,br,1.36,NA,9.171,0.037,NA,NA,g
2458730.685572,2019-9-4.185,br,1.39,NA,9.276,0.037,NA,NA,g
2458730.692537,2019-9-4.192,br,1.39,NA,9.302,0.037,NA,NA,g
2458754.765334,2019-9-28.265,br,1.48,NA,9.203,0.037,NA,NA,g
2458762.720490,2019-10-6.22,br,1.43,NA,9.168,0.037,NA,NA,g
2458764.732426,2019-10-8.232,br,1.43,NA,9.181,0.037,NA,NA,g
2458769.792219,2019-10-13.292,br,1.49,NA,9.287,0.037,NA,NA,g
2458772.784564,2019-10-16.284,br,1.59,NA,9.066,0.037,NA,NA,g
2458773.669129,2019-10-17.169,br,1.43,NA,9.159,0.037,NA,NA,g
2458773.782201,2019-10-17.282,br,1.51,NA,9.312,0.037,NA,NA,g
2458775.776844,2019-10-19.276,br,1.51,NA,9.216,0.037,NA,NA,g
2458778.768382,2019-10-22.268,br,1.49,NA,9.173,0.037,NA,NA,g
2458783.685395,2019-10-27.185,br,1.46,NA,9.110,0.037,NA,NA,g
2458785.666346,2019-10-29.166,br,1.44,NA,9.187,0.037,NA,NA,g
2458786.748731,2019-10-30.248,br,1.42,NA,9.265,0.037,NA,NA,g
2458788.584778,2019-11-1.084,br,1.48,NA,9.243,0.037,NA,NA,g
2458802.703639,2019-11-15.203,br,1.56,NA,9.159,0.037,NA,NA,g
2458803.684915,2019-11-16.184,br,1.47,NA,9.190,0.037,NA,NA,g
2458805.694736,2019-11-18.194,br,1.41,NA,9.262,0.037,NA,NA,g
2458806.691592,2019-11-19.191,br,1.43,NA,9.263,0.037,NA,NA,g
2458819.655501,2019-12-2.155,br,1.44,NA,9.222,0.037,NA,NA,g
2458821.647588,2019-12-4.147,br,1.43,NA,9.205,0.037,NA,NA,g
2458824.644063,2019-12-7.144,br,1.48,NA,9.145,0.037,NA,NA,g
2458825.618722,2019-12-8.118,br,1.48,NA,9.171,0.037,NA,NA,g
2458830.576865,2019-12-13.076,br,1.7,NA,9.023,0.037,NA,NA,g
2458835.548020,2019-12-18.048,br,1.57,NA,9.159,0.037,NA,NA,g
2458836.607393,2019-12-19.107,br,1.51,NA,9.269,0.037,NA,NA,g
2458838.578692,2019-12-21.078,br,1.6,NA,9.309,0.037,NA,NA,g
2458839.601079,2019-12-22.101,br,1.46,NA,9.268,0.037,NA,NA,g
2458840.575712,2019-12-23.075,br,1.44,NA,9.199,0.037,NA,NA,g
2458844.558548,2019-12-27.058,br,1.55,NA,9.262,0.037,NA,NA,g
2458954.958376,2020-4-15.458,br,1.61,NA,9.174,0.037,NA,NA,g
2458957.932860,2020-4-18.432,br,1.59,NA,9.154,0.037,NA,NA,g
2458991.853825,2020-5-22.353,br,1.4,NA,9.236,0.037,NA,NA,g
2459026.756135,2020-6-26.256,br,1.41,NA,9.193,0.037,NA,NA,g
2459040.688649,2020-7-10.188,br,1.47,NA,9.083,0.037,NA,NA,g
2459048.677536,2020-7-18.177,br,1.46,NA,9.153,0.037,NA,NA,g
2459058.674300,2020-7-28.174,br,1.48,NA,9.183,0.037,NA,NA,g
2459060.888425,2020-7-30.388,br,1.51,NA,9.265,0.037,NA,NA,g
2459061.895756,2020-7-31.395,br,1.49,NA,9.255,0.037,NA,NA,g
2459067.874381,2020-8-6.374,br,1.46,NA,9.199,0.037,NA,NA,g
2459070.659387,2020-8-9.159,br,1.4,NA,9.238,0.037,NA,NA,g
2459073.953387,2020-8-12.453,br,1.45,NA,9.170,0.037,NA,NA,g
2459080.897522,2020-8-19.397,br,1.42,NA,9.178,0.037,NA,NA,g
2459082.892566,2020-8-21.392,br,1.43,NA,9.188,0.037,NA,NA,g
2459087.851130,2020-8-26.351,br,1.43,NA,9.224,0.037,NA,NA,g
2459088.900788,2020-8-27.4,br,1.47,NA,9.290,0.037,NA,NA,g
2459090.654748,2020-8-29.154,br,1.51,NA,9.182,0.037,NA,NA,g
2459091.853167,2020-8-30.353,br,1.43,NA,9.209,0.037,NA,NA,g
2459097.689402,2020-9-5.189,br,1.38,NA,9.128,0.037,NA,NA,g
2459143.773612,2020-10-21.273,br,1.43,NA,9.349,0.037,NA,NA,g
2459158.716411,2020-11-5.216,br,1.41,NA,9.173,0.037,NA,NA,g
2459159.709390,2020-11-6.209,br,1.53,NA,9.145,0.037,NA,NA,g
2459182.633220,2020-11-29.133,br,1.55,NA,9.167,0.037,NA,NA,g
2459185.667341,2020-12-2.167,br,2.12,NA,9.288,0.037,NA,NA,g
2459201.567330,2020-12-18.067,br,1.45,NA,9.098,0.037,NA,NA,g
2459203.614515,2020-12-20.114,br,1.52,NA,9.198,0.037,NA,NA,g
2459210.593367,2020-12-27.093,br,1.54,NA,9.100,0.037,NA,NA,g
2459217.578773,2021-1-3.078,br,1.53,NA,9.119,0.037,NA,NA,g
2459219.570287,2021-1-5.07,br,1.57,NA,9.179,0.037,NA,NA,g
2459340.864352,2021-5-6.364,br,1.44,NA,9.223,0.037,NA,NA,g
2459354.869225,2021-5-20.369,br,1.39,NA,9.212,0.037,NA,NA,g
2459404.813765,2021-7-9.313,br,1.45,NA,9.228,0.037,NA,NA,g
2459404.862222,2021-7-9.362,br,1.42,NA,9.249,0.037,NA,NA,g
2459410.703261,2021-7-15.203,br,1.47,NA,9.100,0.037,NA,NA,g
2459410.718534,2021-7-15.218,br,1.44,NA,9.176,0.037,NA,NA,g
2459422.923853,2021-7-27.423,br,1.46,NA,9.235,0.037,NA,NA,g
2459424.811233,2021-7-29.311,br,2.31,NA,9.075,0.037,NA,NA,g
2459430.741907,2021-8-4.241,br,1.43,NA,9.153,0.037,NA,NA,g
2459431.715018,2021-8-5.215,br,1.41,NA,9.193,0.037,NA,NA,g
2459451.903975,2021-8-25.403,br,1.55,NA,9.084,0.037,NA,NA,g
2459455.679259,2021-8-29.179,br,1.57,NA,9.176,0.037,NA,NA,g
2459461.847231,2021-9-4.347,br,1.44,NA,9.162,0.037,NA,NA,g
2459466.666531,2021-9-9.166,br,1.44,NA,9.171,0.037,NA,NA,g
2459469.833423,2021-9-12.333,br,1.42,NA,9.312,0.037,NA,NA,g
2459471.725180,2021-9-14.225,br,1.45,NA,9.245,0.037,NA,NA,g
2459471.778283,2021-9-14.278,br,1.43,NA,9.158,0.037,NA,NA,g
2459472.758882,2021-9-15.258,br,1.47,NA,9.217,0.037,NA,NA,g
2459474.731853,2021-9-17.231,br,1.48,NA,9.198,0.037,NA,NA,g
2459479.757944,2021-9-22.257,br,1.48,NA,9.180,0.037,NA,NA,g
2459480.815290,2021-9-23.315,br,1.46,NA,9.148,0.037,NA,NA,g
2459496.672113,2021-10-9.172,br,1.46,NA,9.129,0.037,NA,NA,g
2459496.695030,2021-10-9.195,br,1.45,NA,9.265,0.037,NA,NA,g
2459506.701017,2021-10-19.201,br,1.49,NA,9.179,0.037,NA,NA,g
2459507.696862,2021-10-20.196,br,1.52,NA,9.213,0.037,NA,NA,g
2459507.734854,2021-10-20.234,br,1.55,NA,9.199,0.037,NA,NA,g
2459516.738655,2021-10-29.238,br,1.51,NA,9.125,0.037,NA,NA,g
2459517.707469,2021-10-30.207,br,1.54,NA,9.153,0.037,NA,NA,g
2459529.597137,2021-11-11.097,br,1.48,NA,9.187,0.037,NA,NA,g
2459529.627484,2021-11-11.127,br,1.49,NA,9.171,0.037,NA,NA,g
2459529.699643,2021-11-11.199,br,1.41,NA,9.180,0.037,NA,NA,g
2459530.685524,2021-11-12.185,br,1.42,NA,9.212,0.037,NA,NA,g
2459532.628915,2021-11-14.128,br,1.48,NA,9.203,0.037,NA,NA,g
2459534.639673,2021-11-16.139,br,1.52,NA,9.139,0.037,NA,NA,g
2459541.690216,2021-11-23.19,br,1.47,NA,9.172,0.037,NA,NA,g
2459542.676556,2021-11-24.176,br,1.42,NA,9.141,0.037,NA,NA,g
2459554.629501,2021-12-6.129,br,1.4,NA,9.226,0.037,NA,NA,g
2459556.645250,2021-12-8.145,br,1.39,NA,9.215,0.037,NA,NA,g
2459563.627378,2021-12-15.127,br,1.53,NA,9.143,0.037,NA,NA,g
2459565.626475,2021-12-17.126,br,1.94,NA,9.397,0.037,NA,NA,g
2459569.609131,2021-12-21.109,br,1.57,NA,9.156,0.037,NA,NA,g
2459570.610522,2021-12-22.11,br,1.53,NA,9.125,0.037,NA,NA,g
2459572.607168,2021-12-24.107,br,2.1,NA,9.390,0.037,NA,NA,g
2459585.570679,2022-1-6.07,br,1.52,NA,9.147,0.037,NA,NA,g
2459654.995048,2022-3-16.495,br,2.2,NA,9.062,0.037,NA,NA,g
2459666.990608,2022-3-28.49,br,1.49,NA,9.169,0.037,NA,NA,g
2459669.971751,2022-3-31.471,br,1.42,NA,9.109,0.037,NA,NA,g
2459675.949899,2022-4-6.449,br,1.48,NA,9.156,0.037,NA,NA,g
2459677.964955,2022-4-8.464,br,1.43,NA,9.140,0.037,NA,NA,g
